legacy_path,target_path,source,notes
/blog/2008/06/我受伤了但/,/blog/2008/06/我受伤了但.../,ga-404-2026-06-16,punctuation-normalized legacy slug
/blog/2009/08/378/,/blog/2009/08/雅井/,ga-404-2026-06-16,wordpress numeric slug
/blog/2009/11/大音希声，大象无形/,/blog/2009/11/大音希声大象无形/,ga-404-2026-06-16,punctuation-normalized legacy slug
/blog/2011/11/神的恩典－鼻子/,/blog/2011/11/神的恩典鼻子/,ga-404-2026-06-16,punctuation-normalized legacy slug
/blog/2019/10/读《在家自学的四个孩子》/,/blog/2019/10/读在家自学的四个孩子/,ga-404-2026-06-16,punctuation-normalized legacy slug
/blog/2020/03/2020-03-23-写日记/,/blog/2020/03/2020.03.23-写日记/,ga-404-2026-06-16,date-separator legacy slug
/blog/2020/03/2020-03-25-做个设计工作室？/,/blog/2020/03/2020.03.25-做个设计工作室/,ga-404-2026-06-16,date-separator legacy slug
/blog/2020/03/2020-03-26-节奏/,/blog/2020/03/2020.03.26-节奏/,ga-404-2026-06-16,date-separator legacy slug
/blog/2020/03/2020-03-29-图形设计是真爱（之一）/,/blog/2020/03/2020.03.29-图形设计是真爱之一/,ga-404-2026-06-16,date-separator legacy slug
/blog/2020/03/2020-03-30-今年的四分之一已过去/,/blog/2020/03/2020.03.30-今年的四分之一已过去/,ga-404-2026-06-16,date-separator legacy slug
/blog/2020/04/2020-04-01-爱与婚姻/,/blog/2020/04/2020.04.01-爱与婚姻/,ga-404-2026-06-16,date-separator legacy slug
/blog/2020/04/内向的前上市公司设计总监，是如何一步一步提高/,/blog/2020/04/内向的前上市公司设计总监是如何一步一步提高演讲表达能力-20200412/,ga-404-2026-06-16,truncated legacy slug
/blog/2020/07/读书笔记-老板，这种设计没人买！/,/blog/2020/07/读书笔记-老板这种设计没人买/,ga-404-2026-06-16,punctuation-normalized legacy slug
/blog/2021/01/为神留出空间-leave-room-for-god/,/blog/2021/01/为神留出空间-leave-room-for-god./,ga-404-2026-06-16,trailing-dot legacy slug
/blog/2021/02/你的灵，疲惫不堪吗？are-you-exhausted-spiritually/,/blog/2021/02/你的灵疲惫不堪吗are-you-exhausted-spiritually/,ga-404-2026-06-16,punctuation-normalized legacy slug
/blog/2022/10/老家、拆迁、记念/,/blog/2022/10/老家拆迁记念/,ga-404-2026-06-16,punctuation-normalized legacy slug
/blog/2023/07/重读《乔布斯传》/,/blog/2023/07/重读乔布斯传/,ga-404-2026-06-16,punctuation-normalized legacy slug
